                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 0.4336,                0.38512,                0.17193,                 0.2908,                 1.0302,                0.99887,                0.99902,                  0.995,                0.95897,                0.99887,                0.99902,                  0.995,                0.99326,                0.31444,                0.15309,                0.02393,                0.19114,                0.80671,             0.00057778,             0.00057778,             0.00057778
                     68,                0.43551,                0.37769,                0.16968,                0.28819,                 1.0287,                0.99917,                0.99902,                  0.995,                0.96067,                0.99917,                0.99902,                  0.995,                0.99374,                0.30472,                0.15572,                0.02435,                0.18401,                0.79496,             0.00056128,             0.00056128,             0.00056128
                     69,                0.42648,                0.36674,                 0.1726,                0.28861,                 1.0223,                0.99978,                0.99897,                  0.995,                0.96662,                0.99978,                0.99897,                  0.995,                0.99274,                0.29183,                0.14708,                 0.0238,                0.18121,                0.78488,             0.00054478,             0.00054478,             0.00054478
                     70,                0.41968,                0.35051,                0.17565,                0.27997,                 1.0186,                0.99887,                0.99902,                  0.995,                0.96873,                0.99887,                0.99902,                  0.995,                0.99375,                0.28912,                0.14742,                0.02442,                0.18015,                0.77977,             0.00052827,             0.00052827,             0.00052827
                     71,                 0.4164,                0.35044,                0.16631,                0.28281,                 1.0167,                0.99929,                0.99902,                  0.995,                 0.9677,                0.99929,                0.99902,                  0.995,                0.99367,                0.28437,                0.14496,                0.02306,                0.17809,                0.77579,             0.00051177,             0.00051177,             0.00051177
                     72,                0.41179,                 0.3353,                0.16907,                0.27757,                  1.016,                0.99885,                0.99902,                  0.995,                 0.9687,                0.99885,                0.99902,                  0.995,                0.99392,                0.28111,                0.14721,                0.02253,                 0.1814,                0.77473,             0.00049527,             0.00049527,             0.00049527
                     73,                0.41432,                 0.3385,                0.16695,                0.27598,                 1.0093,                0.99891,                0.99902,                  0.995,                0.96839,                0.99891,                0.99902,                  0.995,                0.99431,                0.28315,                0.13263,                0.02253,                0.17976,                0.77527,             0.00047876,             0.00047876,             0.00047876
                     74,                0.41027,                 0.3262,                0.16185,                0.27543,                 1.0089,                0.99889,                0.99902,                  0.995,                0.96954,                0.99889,                0.99902,                  0.995,                0.99407,                0.28255,                0.13836,                0.02305,                0.17671,                0.77549,             0.00046226,             0.00046226,             0.00046226
                     75,                0.40688,                0.33138,                0.16629,                0.27706,                 1.0162,                0.99911,                0.99902,                  0.995,                0.96829,                0.99911,                0.99902,                  0.995,                0.99418,                0.28181,                0.13511,                0.02453,                0.17813,                 0.7753,             0.00044576,             0.00044576,             0.00044576
                     76,                0.40515,                 0.3317,                0.16372,                0.27327,                 1.0095,                 0.9989,                0.99902,                  0.995,                0.97118,                 0.9989,                0.99902,                  0.995,                0.99365,                0.27876,                 0.1329,                0.02231,                0.17711,                0.77319,             0.00042925,             0.00042925,             0.00042925
                     77,                0.40896,                0.31302,                0.15841,                0.27447,                 1.0146,                0.99963,                0.99902,                  0.995,                0.97102,                0.99963,                0.99902,                  0.995,                0.99432,                0.27631,                 0.1271,                0.02044,                0.17375,                 0.7703,             0.00041275,             0.00041275,             0.00041275
                     78,                0.39689,                0.31267,                0.16083,                0.27241,                 1.0051,                0.99963,                0.99902,                  0.995,                0.97194,                0.99963,                0.99902,                  0.995,                0.99373,                0.27114,                0.13526,                0.02244,                0.16998,                0.76505,             0.00039625,             0.00039625,             0.00039625
                     79,                0.39759,                0.32003,                 0.1606,                0.26901,                 1.0089,                0.99956,                0.99902,                  0.995,                0.96865,                0.99956,                0.99902,                  0.995,                 0.9942,                0.28512,                0.13371,                0.02267,                  0.174,                0.77468,             0.00037974,             0.00037974,             0.00037974
                     80,                0.39482,                0.29678,                0.15689,                 0.2697,                 1.0029,                0.99949,                0.99902,                  0.995,                0.96937,                0.99949,                0.99902,                  0.995,                 0.9942,                0.27317,                0.12731,                0.02062,                0.17136,                0.76771,             0.00036324,             0.00036324,             0.00036324
                     81,                0.39992,                0.30258,                0.15571,                0.26911,                 1.0038,                0.99956,                0.99902,                  0.995,                0.97089,                0.99956,                0.99902,                  0.995,                0.99426,                  0.274,                0.12168,                0.02053,                0.16956,                0.76605,             0.00034674,             0.00034674,             0.00034674
                     82,                0.39053,                0.30149,                0.15685,                0.26614,                 1.0028,                0.99969,                0.99902,                  0.995,                0.97156,                0.99969,                0.99902,                  0.995,                 0.9945,                0.26936,                 0.1209,                0.02109,                0.16813,                0.76273,             0.00033023,             0.00033023,             0.00033023
                     83,                0.39082,                0.29789,                 0.1539,                0.27179,                 1.0068,                 0.9994,                0.99902,                  0.995,                0.97322,                 0.9994,                0.99902,                  0.995,                0.99468,                0.26859,                0.11912,                0.02103,                0.16975,                0.75823,             0.00031373,             0.00031373,             0.00031373
